name,barcode,cost,price,margin,stock,pack_units,min_stock,is_weighted,weight,category
PRESTIGIO COUNTLINE BARRA (12X35G),,8046,,0.30,1,12,5,false,35,nestle-mckay
CHOKITA ORIGINAL (36X100G),,3630,,0.30,4,36,5,false,100,nestle-mckay
TRIX CEREAL (36X100G),,1824,,0.30,3,36,5,false,100,nestle-mckay
CHOKITA GALLETA BANDA BARRA (5X20X30G),,5684,,0.30,1,100,5,false,30,nestle-mckay
SALSA DESHIDRATADA MAGGI BLANCA SOBRE (25X36G),,2440,,0.30,4,25,5,false,36,nestle-mckay
SALSA DESHIDRATADA MAGGI CHAMPIGNON SOBRE (25X45G),,2440,,0.30,4,25,5,false,45,nestle-mckay
BASE MAGGI CARNE A LA CACEROLA SOBRE (25X36G),,2452,,0.30,4,25,5,false,36,nestle-mckay
SOPA MAGGI POLLO CON SEMOLA SOBRE (20X68G),,1912,,0.30,4,20,5,false,68,nestle-mckay
TRITON REGULAR VAINILLA (30X116G),,2444,,0.30,4,30,5,false,116,nestle-mckay
TRITON REGULAR CHOCOLATE (30X116G),,2444,,0.30,4,30,5,false,116,nestle-mckay
CHOCOLATE SAHNE NUSS BARRA (21X160G),,1728,,0.30,2,21,5,false,160,nestle-mckay
MAGGI SOPA POLLO FIDEOS (20X70G),,1912,,0.30,4,20,5,false,70,nestle-mckay
MAGGI SOPA POLLO ARROZ SOBRE (20X70G),,1912,,0.30,4,20,5,false,70,nestle-mckay
MAGGI SOPA POLLO VERDURAS (20X93G),,3776,,0.30,4,20,5,false,93,nestle-mckay
CHOCOLATE SAHNE NUSS BARRA (15X250G),,8786,,0.30,2,15,5,false,250,nestle-mckay
MAGGI CREMA ESPARRAGOS (20X68G),,1984,,0.30,4,20,5,false,68,nestle-mckay
MAGGI CALDO EN POLVO DE GALLINA (28X10X7G),,695,,0.30,4,280,5,false,7,nestle-mckay
MAGGI CALDO EN POLVO DE CARNE (28X10X7G),,2688,,0.30,4,280,5,false,7,nestle-mckay
MOROCHA MINI GALLETA (24X50G),,2688,,0.30,4,24,5,false,50,nestle-mckay
CHOCOLATE KIT KAT FINGERS MILK (42X41.5G),,3150,,0.30,6,42,5,false,41.5,nestle-mckay
CHIQUITIN SIN DESPERDICIO FULLPISO (108X45G),,1888,,0.30,8,108,5,false,45,nestle-lacteos
CHAMYTO LCF FRUT BOL M/P (6X80ML),,1782,,0.30,6,6,5,false,80,nestle-lacteos
NESTLE JALEA NARANJA POTE (48X110G),,1040,,0.30,4,48,5,false,110,nestle-lacteos
NESTLE JALEA PINA POTE (48X110G),,1040,,0.30,4,48,5,false,110,nestle-lacteos
NESTLE JALEA FRAMBUESA POTE (48X110G),,1040,,0.30,4,48,5,false,110,nestle-lacteos
GALLETA CHIP KUKY CLASICA (30X120G),,3400,,0.30,4,30,5,false,120,nestle-mckay
NESTLE MCKAY GALLETA VINO (28X155G),,2524,,0.30,4,28,5,false,155,nestle-mckay
NESTLE MCKAY AGUA/GALLINA MINI (20X180G),,3000,,0.30,4,20,5,false,180,nestle-mckay
GALLETAS MCKAY SODA CLASICA (20X180G),,3184,,0.30,4,20,5,false,180,nestle-mckay
MAGGI SOPA POLLO (56X18G),,3596,,0.30,2,56,5,false,18,nestle-mckay
LECHE CONDENSADA NESTLE AZUCARADA LATA (48X397G),,4623,,0.30,3,48,5,false,397,nestle-lacteos
CREMA DE LECHE NESTLE LATA (48X157G),,7117,,0.30,8,48,5,false,157,nestle-lacteos
SALSA DESHIDRATADA MAGGI CARNE SOBRE (25X33G),,1830,,0.30,3,25,5,false,33,nestle-mckay
BASE MAGGI HAMBURGUESAS SOBRE (18X90G),,1488,,0.30,4,18,5,false,90,nestle-mckay
SOPA MAGGI POLLO CON SEMOLA SOBRE (20X68G),,1434,,0.30,3,20,5,false,68,nestle-mckay
NESCAFE VAINILLA LATTE (6X18.5G),,2347,,0.30,1,36,5,false,18.5,nestle-lacteos
GALLETAS MCKAY COCO (30X120G),,2580,,0.30,4,30,5,false,120,nestle-mckay
SALSA TOMATE MAGGI TUCO CON CARNE PACK (4X24X45G),,5655,,0.30,1,96,5,false,45,nestle-mckay
MAGGI CALDO EN POLVO COSTILLA (28X10X7G),,695,,0.30,1,280,5,false,7,nestle-mckay
MAGGI CALDO EN POLVO DE GALLINA (28X10X7G),,4434,,0.30,1,280,5,false,7,nestle-mckay
CAFE NESCAFE TRADICION TARRO (24X50G),,1198,,0.30,6,24,5,false,50,nestle-lacteos
MAGGI SOPA POLLO FIDEOS (20X70G),,1912,,0.30,4,20,5,false,70,nestle-mckay
NESQUIK OPTISTAR FRUTILLA BOLSA (18X180G),,1804,,0.30,2,18,5,false,180,nestle-mckay
MAGGI CREMA DE MAIZ (20X93G),,1888,,0.30,4,20,5,false,93,nestle-mckay
MAGGI SOPA POLLO VERDURAS (36X48X16G),,2906,,0.30,2,1728,5,false,16,nestle-mckay
MAGGI PURE DE PAPAS (12X187G),,4434,,0.30,1,12,5,false,187,nestle-mckay
TRENCITO CHOCOLATE BARRA (21X80G),,695,,0.30,1,21,5,false,80,nestle-mckay
MAGGI CALDO EN POLVO DE COSTILLA (36X48X10G),,3971,,0.30,1,1728,5,false,10,nestle-mckay
MAGGI CREMA ESPARRAGOS (20X68G),,695,,0.30,4,20,5,false,68,nestle-mckay
NIDO BUEN DIA LSP SOFTPACK (12X130G),,2565,,0.30,3,12,5,false,130,nestle-lacteos
PK 10 TRITON VAINILLA + 5 TRITON CHOCOLATE,,7332,,0.30,1,15,5,false,1,nestle-mckay
CHOCOLATE SAHNE NUSS BARRA (21X160G),,5464,,0.30,2,21,5,false,160,nestle-mckay
GALLETAS MCKAY MANTEQUILLA (24X140G),,3225,,0.30,5,24,5,false,140,nestle-mckay
CHANDELLE CREMA CHOCOLATE (20X120G),,2236,,0.30,4,20,5,false,120,nestle-lacteos
CHANDELLE CREMA MANJAR (20X120G),,2236,,0.30,4,20,5,false,120,nestle-lacteos
